CSV_File,THRESH,EBM_AVG_SUCCESS,MSE_AVG_SUCCESS,MSE_EBM_AVG,MSE_MSE_AVG
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.1,0.9849246231155779,0.9899497487437185,0.0138110003114456,0.01182235723594184
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.1,0.9949748743718593,0.9949748743718593,0.008311298576652394,0.003979292602005035
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.1,0.9798994974874372,0.9748743718592965,0.012756733729320163,0.008773516394115421
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.05,0.9346733668341709,0.9195979899497487,0.0138110003114456,0.01182235723594184
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.05,0.9849246231155779,0.9849246231155779,0.008311298576652394,0.003979292602005035
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.05,0.9447236180904522,0.9396984924623115,0.012756733729320163,0.008773516394115421
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.03,0.8341708542713567,0.8994974874371859,0.0138110003114456,0.01182235723594184
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.03,0.949748743718593,0.9698492462311558,0.008311298576652394,0.003979292602005035
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.03,0.9195979899497487,0.9296482412060302,0.012756733729320163,0.008773516394115421
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.01,0.6532663316582915,0.7135678391959799,0.0138110003114456,0.01182235723594184
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.01,0.7537688442211056,0.9095477386934674,0.008311298576652394,0.003979292602005035
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.01,0.6934673366834171,0.8743718592964824,0.012756733729320163,0.008773516394115421
